Speed,LapDistPct,Lat,Lon,Brake,Throttle,RPM,SteeringWheelAngle,Gear,Clutch,ABSActive,DRSActive,LatAccel,LongAccel,VertAccel,Yaw,YawRate,PositionType
46.937798,0.00028216204,-36.51972738009134,146.08787969522666,0,1,6367.461,-0.0033892887,4,1,false,false,-0.94181496,1.493966,10.071574,2.2007847,-0.023472354,3
46.963272,0.0005478303,-36.5197216125617,146.0878746713396,0,1,6379.0815,-0.0045998837,4,1,false,false,-0.92458284,1.478981,9.787287,2.2004244,-0.021920966,3
46.98617,0.0008136365,-36.51971584503206,146.08786953580795,0,1,6388.7344,-0.0048414385,4,1,false,false,-0.9333666,1.3405257,8.894288,2.2000468,-0.023737606,3
47.011066,0.0010795713,-36.51971007736491,146.08786451192088,0,1,6403.7065,-0.00484144,4,1,false,false,-0.9572604,1.62817,9.890319,2.1996372,-0.025175434,3
47.039104,0.0013456611,-36.519704400041014,146.08785937638928,0,1,6404.023,-0.0058095413,4,1,false,false,-1.0653094,1.6772239,9.642989,2.1992166,-0.025096206,3
47.066395,0.0016119027,-36.51969863251138,146.0878543524969,0,1,6399.6133,-0.008473222,4,1,false,false,-0.98213315,1.6414926,9.171073,2.1988053,-0.024330508,3
47.093735,0.0018783015,-36.51969286498174,146.08784921696528,0,1,6409.8716,-0.011135968,4,1,false,false,-1.0031681,1.6295025,9.632071,2.198401,-0.024919784,3
47.12063,0.0021448534,-36.5196870974521,146.08784419307287,0,1,6411.7744,-0.011135967,4,1,false,false,-1.092461,1.6278898,9.743647,2.19797,-0.027226731,3
47.147324,0.0024115595,-36.51968132992246,146.0878390575466,0,1,6412.2656,-0.010894412,4,1,false,false,-0.9705107,1.5674052,9.211671,2.1975179,-0.027156258,3
47.1733,0.0026784102,-36.51967556239283,146.0878340336542,0,1,6421.2583,-0.010167867,4,1,false,false,-0.9618453,1.5364375,9.42539,2.1970756,-0.026740601,3
