"position","name","points","dropped","clubname","countrycode","irating","avgfinish","topfive","starts","lapslead","wins","incidents","division","weekscounted","laps","poles","avgstart","custid"
1,"Sam Mott",285.666672,0,"","GB",4340,2.0,11,13,96,7,45,1,2,181,5,3.0,671814
2,"Daniel Case2",284.0,0,"","US",4763,1.0,5,5,22,3,21,1,2,57,3,2.0,717224
3,"Roel de Fouw",281.666672,0,"","NL",5302,2.0,16,17,111,9,36,1,2,188,13,1.0,209147
4,"Brett McBurnie",278.0,0,"","AU",6887,2.0,3,3,24,2,3,1,2,39,3,1.0,22184
5,"Dima Syrkin2",273.5,0,"","BY",4415,3.0,9,10,26,3,38,1,2,108,0,4.0,922603
6,"Mathias Klein",273.0,0,"","DE",4773,2.0,3,3,15,1,0,1,2,33,1,2.0,114183
7,"David Rodríguez4",269.0,0,"","ES",5726,1.0,7,7,61,6,4,1,2,81,5,1.0,995197
8,"Luka Bogunovic",264.0,0,"","NZ",4209,2.0,2,2,12,1,1,1,2,24,0,4.0,1144836
9,"Pierre Olivier",263.5,0,"","FR",4543,3.0,21,24,197,12,49,1,2,310,16,3.0,1199856
10,"Miguel Lozano",259.0,0,"","ES",3707,2.0,6,6,24,3,3,2,2,72,3,2.0,154768
11,"Luca Bono",256.5,0,"","IT",3573,5.0,6,9,2,0,44,2,2,111,2,4.0,1244989
12,"Munehisa Miyakawa",254.0,0,"","JP",2620,5.0,3,4,17,1,17,2,2,39,1,4.0,633367
13,"Wen Jun",252.666672,0,"","CN",4306,3.0,17,22,59,7,95,1,2,251,3,3.0,1270700
14,"Tony Alberts",252.0,0,"","US",3270,2.0,5,5,27,2,10,2,2,69,2,2.0,878678
15,"Mike D Morgan",247.0,0,"","ENG",3287,5.0,4,6,14,1,33,2,2,62,0,5.0,487456
16,"Guangyao Wang",247.0,0,"","CN",3054,6.0,3,6,7,0,19,2,2,56,0,8.0,994592
17,"Leonardo Mallaco",244.666664,0,"","BR",2602,5.0,24,34,99,5,91,3,2,380,7,4.0,846713
18,"Harrison Gough",244.0,0,"","AU",3361,5.0,5,8,2,0,36,2,2,95,0,5.0,1135037
19,"Frankie Dee",239.0,0,"","US",4420,2.0,3,3,0,0,3,1,2,33,0,3.0,511560
20,"Nahuel Gallego",238.0,0,"","AR",3128,7.0,3,6,10,1,24,2,2,63,0,7.0,1108558
21,"Bruno Matos2",238.0,0,"","BR",3604,3.0,2,3,6,1,23,2,2,39,0,5.0,660286
22,"Steve Vandeputte",236.166664,0,"","BE",2674,4.0,18,27,94,7,147,4,2,379,7,3.0,1223052
23,"Shintaro Ichimura",231.333336,0,"","JP",2771,5.0,6,11,13,0,61,2,2,153,1,4.0,358052
24,"Bogdan Krystek",230.60714000000002,0,"","CA",2934,5.0,26,41,38,2,199,4,2,512,3,4.0,1147090
25,"Jiaye Zhu",229.166664,0,"","CN",2554,4.0,21,26,129,9,82,11,2,334,13,3.0,1395257
